Name,Description,Note,Created,Last edited time,length,Created by,Days
毅力也是來自多巴胺。,"《欲望分子多巴胺》",,"March 19, 2023 5:14 PM","April 26, 2023 8:30 PM",10,imac-fly,38
贏得勝利當然會刺激多巴胺分泌。,"《欲望分子多巴胺》",,"February 21, 2023 9:48 AM","April 26, 2023 8:30 PM",15,imac-fly,64
可以藉由思考過程中產生多巴胺。,"《越無聊，越開竅》",,"January 16, 2023 11:57 AM","April 26, 2023 8:30 PM",15,imac-fly,100
對多巴胺而言，沒有最多，只有更多。,"《欲望分子多巴胺》",,"February 21, 2023 9:49 AM","April 26, 2023 8:30 PM",17,imac-fly,64
"冰毒刺激多巴胺的幅度為1,200％。",《癮，駛往地獄的列車，該如何跳下？》,,"October 18, 2022 10:26 PM","October 18, 2022 10:26 PM",18,imac-fly,0
獎勵要比想像中的更多，多巴胺才會分泌。,"《欲望分子多巴胺》",,"March 8, 2023 3:24 PM","April 26, 2023 8:30 PM",19,imac-fly,49
在雙方合作的情境下多巴胺提升得比較多。,《行為》,,"November 15, 2022 8:56 AM","April 26, 2023 8:32 PM",19,imac-fly,162
多巴胺因為預期而暴增，對酒精的渴望氾濫成災。,《行為》,,"November 15, 2022 8:57 AM","November 15, 2022 8:57 AM",22,imac-fly,0
多巴胺欲望迴路活躍的人，可能行事衝動，難以滿足。,"《欲望分子多巴胺》",,"March 19, 2023 5:17 PM","April 26, 2023 8:30 PM",24,imac-fly,38
多巴胺其實並不是「快樂分子」，而是「期望分子」。,"《欲望分子多巴胺》",,"March 8, 2023 3:29 PM","April 26, 2023 8:30 PM",24,imac-fly,49
大腦不只在你體驗愉悅時分泌多巴胺，預期愉悅時也會。,《原子習慣》,,"July 20, 2022 8:05 AM","July 20, 2022 8:05 AM",25,imac-fly,0
但你滿腦子多巴胺，只想著規畫與未來，看不到當下的現在。,"《欲望分子多巴胺》",,"February 21, 2023 10:10 AM","April 26, 2023 8:31 PM",27,imac-fly,64
但少了多巴胺，欲望就死了；而一旦沒有欲望，行為便停止了。,《原子習慣》,,"June 13, 2022 5:01 PM","June 13, 2022 5:01 PM",28,imac-fly,0
它不在乎我們餓不餓，因為飢餓發生在現在，但多巴胺只看將來。,"《欲望分子多巴胺》",,"March 8, 2023 3:25 PM","April 26, 2023 8:31 PM",29,imac-fly,49
"有高多巴胺特質的人通常比較喜歡抽象思維而不是感官體驗。","《欲望分子多巴胺》",,"February 21, 2023 10:36 AM","February 21, 2023 10:36 AM",29,imac-fly,0
多巴胺控制迴路活躍的人，則可能鐵石心腸，精於算計，冷若冰霜。,"《欲望分子多巴胺》",,"March 19, 2023 5:17 PM","April 26, 2023 8:31 PM",30,imac-fly,38
這樣的變動讓多巴胺達到峰值，提升記憶的效果，加速習慣的養成。,《原子習慣》,,"July 2, 2022 8:10 AM","July 2, 2022 8:10 AM",30,imac-fly,0
多巴胺的功能非常具體：讓我們盡力獲取資源，盡量追求最好的東西。,"《欲望分子多巴胺》",,"March 8, 2023 3:27 PM","April 26, 2023 8:31 PM",31,imac-fly,49
"多巴胺其實和愉悅完全無關，而是負責傳遞一種更有影響力的情感。","《欲望分子多巴胺》",,"February 21, 2023 10:18 AM","February 21, 2023 10:18 AM",32,imac-fly,0
在不確定性（酬賞會不會出現）最高的情況下，多巴胺的釋放達到巔峰。,《行為》,,"November 15, 2022 8:58 AM","April 26, 2023 8:32 PM",32,imac-fly,162
你知道當這一切結束時帶給你的疲乏感嗎？這就是多巴胺過多的後遺症。,《僧人心態》,,"July 12, 2022 6:01 PM","April 26, 2023 8:31 PM",32,imac-fly,288
"欲望迴路的多巴胺會讓我們充滿能量、熱情、希望，讓一切充滿光明。","《欲望分子多巴胺》",,"February 21, 2023 10:37 AM","February 21, 2023 10:37 AM",33,imac-fly,0
預測他得知此人不幸時，多巴胺也較為活躍。由此可知，幸災樂禍的時候。,因別人失勢而感到開心,,"November 15, 2022 8:56 AM","April 26, 2023 8:31 PM",33,imac-fly,162
這就是多巴胺的本質，它的功能就是讓我們去搶更多東西，讓未來更有保障。,"《欲望分子多巴胺》",,"March 8, 2023 3:24 PM","April 26, 2023 8:31 PM",34,imac-fly,49
"多巴胺不會叫我們用腦思考，而是讓我們對它產生欲望，想要立刻擁有。","《欲望分子多巴胺》",,"February 21, 2023 10:37 AM","February 21, 2023 10:37 AM",34,imac-fly,0
"很多人誤以為是多巴胺給人帶來了快樂，但其實多巴胺與快樂無關。

","《底層邏輯》
",,"January 12, 2023 4:16 PM","January 12, 2023 4:16 PM",34,imac-fly,0
古柯鹼、安非他命這類會促進多巴胺分泌的藥物，都會提高我們的自我效能感。,"《欲望分子多巴胺》",,"March 19, 2023 5:14 PM","April 26, 2023 8:31 PM",35,imac-fly,38
擁有大量分泌多巴胺基因的人，性伴侶人數最多，第一次性行為的年齡也最低。,"《欲望分子多巴胺》",,"February 21, 2023 10:11 AM","April 14, 2023 9:23 AM",35,imac-fly,51
使用無色彩的畫面，多巴胺釋放的量就少。而且這麼做將大大影響滑手機的欲望。,《拯救手機腦》,,"June 27, 2022 11:55 PM","April 26, 2023 8:32 PM",36,imac-fly,302
論及習慣，關鍵重點是：大腦不只在你體驗愉悅時分泌多巴胺，預期愉悅時也會。,《原子習慣》,,"June 7, 2022 3:03 PM","April 26, 2023 8:32 PM",36,imac-fly,323
"多巴胺在作夢的時候會大量分泌，不受其他應付現實世界的神經傳導物質影響。","《欲望分子多巴胺》",,"March 8, 2023 3:17 PM","March 8, 2023 3:17 PM",37,imac-fly,0
當大腦遇到新奇事物，多巴胺濃度會飆升，啟動快樂中樞，激勵我們去學習和探索。,"《訓練大腦，讓自己更強大》",,"February 12, 2023 12:21 PM","April 26, 2023 8:32 PM",37,imac-fly,73
"化學方式降低大腦對多巴胺的反應時，女性會變得更自私，而男性變得更親社會。","《朋友原來是天生的：鄧巴數字與友誼成功的七大支柱》",,"January 22, 2023 9:19 AM","January 22, 2023 9:19 AM",38,imac-fly,0
他提到音樂令你快樂，因為你一直在預期下面是什麼。每個正確的預測都會刺激多巴胺。,《創造快樂大腦》,,"April 22, 2022 10:53 AM","April 22, 2022 10:53 AM",39,imac-fly,0
"「唉呦，買個希望嘛，」那些很會幫多巴胺找藉口的人都說「有夢最美，希望相隨」。","《欲望分子多巴胺》",,"March 8, 2023 3:33 PM","March 8, 2023 3:33 PM",40,imac-fly,0
"多巴胺是人在確定動機後，支持著他不斷攀登、享受過程、完成目標的化學物質。

","《底層邏輯》
",,"January 12, 2023 4:16 PM","January 12, 2023 4:16 PM",40,imac-fly,0
