Name,Description,Note,Created,Last edited time,length,Created by,Days
要留一點性愛能量給我（們）。,《道德浪女》,,"June 20, 2022 1:12 PM","January 30, 2023 9:13 AM",14,imac-fly,223
都有性愛意涵，從分享情緒到分享高潮都是。,《道德浪女》,,"December 27, 2022 5:46 PM","December 27, 2022 5:46 PM",20,imac-fly,0
性愛是美妙、多變的韻律，並非只有一種快節奏。,《性愛的科學》,,"October 8, 2022 1:56 PM","April 11, 2023 6:35 PM",22,imac-fly,185
欲望包括對食物、酒精、性愛和狂歡的渴望和執念。,"《為什麼我們不想生》",,"January 16, 2023 2:12 PM","January 31, 2023 5:57 PM",23,imac-fly,15
學習性愛相關知識最棒的是：你會很喜歡做回家作業。,《道德浪女》,,"June 27, 2022 3:24 PM","June 27, 2022 3:24 PM",24,imac-fly,0
你想跟多少人分享性愛，就得在多少人面前暴露你的裸體。,《道德浪女》,,"February 1, 2023 3:09 PM","February 19, 2023 7:40 PM",26,慈葳 簡,18
沒有不喜歡性愛的人，只有沒享受過高潮而誤會自己不喜歡性愛的人。,《大人的性愛相談》,,"October 8, 2022 1:46 PM","January 31, 2023 2:21 PM",31,imac-fly,115
對很多人來說，自由性愛最大的障礙，就是我們稱為嫉妒的這種情緒。,《道德浪女》,,"June 15, 2022 3:05 PM","June 15, 2022 3:05 PM",31,imac-fly,0
我們認為友誼就是一個做愛的好理由，性愛也是一個維護友誼的絕佳辦法。,《道德浪女》,,"June 12, 2022 12:37 PM","June 12, 2022 12:37 PM",33,imac-fly,0
我們喜歡這麼說：所有感官刺激都有性愛的意涵，從分享情緒到分享高潮都是。,《道德浪女》,,"February 1, 2023 2:55 PM","February 20, 2023 6:15 PM",35,慈葳 簡,19
愉悅性愛的基本技巧就是知道如何放鬆、如何放慢，然後知道如何繃緊、加速。,《道德浪女》,,"December 27, 2022 6:08 PM","December 27, 2022 6:08 PM",35,imac-fly,0
妳有權利維持妳的界線，對於任何妳不喜歡或者覺得不舒服的性愛說「NO」。,《道德浪女》,,"December 27, 2022 6:07 PM","April 26, 2023 12:58 PM",35,imac-fly,119
某種程度上，性愛是克服分離狀態的自然和正常的方法，是對於孤立問題的一部分解答。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 20, 2022 10:35 AM","April 11, 2023 6:44 PM",39,imac-fly,326
"臥室應該只留給睡眠和性愛；言外之意或許在強調，炒飯、滾床單，對睡眠有益無害。","《為什麼睡不著？》",,"March 22, 2023 4:01 PM","March 22, 2023 4:01 PM",40,imac-fly,0
用聲音也可以做愛──淫言穢語或電話性愛──許多無法用肢體做愛的人，仍然有此能力。,《道德浪女》,,"June 27, 2022 3:22 PM","June 27, 2022 3:22 PM",40,imac-fly,0
