Name,Description,Note,Created,Last edited time,length,Created by,Days
愛的本質在於合作。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 31, 2022 7:17 PM","May 31, 2022 7:17 PM",9,imac-fly,0
尊重不是恐懼和敬畏。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 4, 2022 10:28 AM","February 20, 2023 6:14 PM",10,imac-fly,261
尊重只能以自由作為基礎,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:12 PM","May 5, 2022 1:12 PM",11,imac-fly,0
一門藝術的實踐要求紀律,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:07 PM","May 26, 2022 3:07 PM",11,imac-fly,0
愛是人身上的主動力量。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 11, 2022 9:38 AM","June 11, 2022 9:38 AM",11,imac-fly,0
愛是積極主動地穿透他人。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 17, 2022 7:16 AM","May 17, 2022 7:16 AM",12,imac-fly,0
給予是在表現蓬勃的生命力,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 25, 2022 9:37 AM","May 25, 2022 9:37 AM",12,imac-fly,0
直覺是精通任何藝術的標誌。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 30, 2022 6:22 PM","January 23, 2023 3:37 PM",13,imac-fly,237
施虐狂的動機是想知道人的祕密,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:10 PM","May 5, 2022 1:10 PM",14,imac-fly,0
尋求意中人者必被意中人所尋求,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"July 25, 2022 1:02 PM","July 25, 2022 1:02 PM",14,imac-fly,0
專注是掌握任何藝術的先決條件,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"December 15, 2022 12:57 PM","January 21, 2023 7:35 PM",14,imac-fly,37
母愛讓小孩感覺被生下來真好。,"《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》",,"February 23, 2023 8:20 PM","April 11, 2023 6:31 PM",14,imac-fly,46
現代人與自己、他人和自然界疏離,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"July 6, 2022 8:40 AM","January 19, 2023 7:31 PM",15,imac-fly,197
第三個達到合一的方法是從事創作,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"December 10, 2022 12:08 PM","December 10, 2022 12:08 PM",15,imac-fly,0
