Name,Description,Note,Created,Last edited time,length,Created by,Days
潛意識心智是人性的一切。,"《睡眠、夢和死亡過程》",,"March 23, 2023 12:25 PM","April 26, 2023 12:10 PM",12,imac-fly,33
犯錯是人性，寬恕是神聖。,"《斯多葛生活哲學55個練習》",,"February 3, 2023 11:44 AM","April 26, 2023 12:11 PM",12,imac-fly,82
"人性最深層的渴望是被欣賞。","《別自個兒用餐》",,"January 27, 2023 12:11 PM","January 27, 2023 12:11 PM",15,imac-fly,0
人性源自於此。殺是本性，不殺是人性。,《八尺門的辯護人（鏡文學百萬影視小說大獎首獎）》,,"October 5, 2022 12:13 PM","April 26, 2023 12:32 PM",18,imac-fly,203
性命即天命、人性，在天曰命，在人曰性。,《從易經解心經》,,"October 28, 2022 6:11 PM","October 28, 2022 6:11 PM",19,imac-fly,0
另一邊則認為語言將引向最豐富的人性發現。,"《睡眠、夢和死亡過程》",,"March 12, 2023 9:28 AM","April 26, 2023 12:33 PM",20,imac-fly,45
種族主義是恐懼的一種形式，而恐懼是人性。,"《新游牧者之歌》
",,"January 7, 2023 2:02 PM","April 26, 2023 12:33 PM",20,imac-fly,108
只要與人性常理相悖，任何目標都注定失敗。,《原子習慣》,,"June 5, 2022 11:06 AM","June 5, 2022 11:06 AM",20,imac-fly,0
它們能讓我們專心努力，變得比現在更有人性。,"《必然：掌握形塑未來30年的12科技大趨力》",,"February 7, 2023 1:13 PM","April 26, 2023 12:33 PM",21,imac-fly,77
一切「美」的深處，都藏著某種非人性的東西。,《尋找異鄉人》,,"June 9, 2022 7:03 PM","April 26, 2023 12:33 PM",21,imac-fly,320
科學不可能不受人性弱點和歷史偶然性的左右。,《資訊爆炸之後》,,"May 23, 2022 8:46 AM","May 23, 2022 8:46 AM",21,imac-fly,0
多數人並不害怕失去生命，他們怕的是失去人性。,"《可不可以不變老？》",,"February 4, 2023 11:14 AM","April 26, 2023 12:33 PM",22,imac-fly,81
我們在看待人性時，都須更多元、更包容、更貼近。,"《阿德勒談生命風格》",,"March 29, 2023 3:11 PM","April 26, 2023 12:33 PM",23,imac-fly,27
感恩是人性嗎？寬容是人性嗎？不是，這些是道德。,《底層邏輯》,,"April 17, 2022 9:54 AM","April 17, 2022 9:54 AM",23,imac-fly,0
人性，到底是什麼？人性只涉及兩點：生存和繁衍。,《底層邏輯》,,"April 17, 2022 9:53 AM","April 17, 2022 9:53 AM",23,imac-fly,0
看有沒有一個對象讓我們釋放人性「為之著迷」的一面。,"《沒有別人，怎麼做自己？》
",,"January 10, 2023 5:10 PM","April 26, 2023 12:33 PM",25,imac-fly,105
"大抵人性的弱點是：時間到了，該走的時候捨不得走。","《麻醉科醫師的憂鬱》",,"February 25, 2023 8:39 AM","February 25, 2023 8:39 AM",26,imac-fly,0
社群的基礎是共同的人性；部落主義的基礎是共同的敵人。,《第二座山》,,"April 18, 2022 7:23 PM","April 18, 2022 7:23 PM",26,imac-fly,0
提出「人的神性與神的人性」，也就是「人的宗教」的概念。,《人的宗教》,,"December 1, 2022 1:26 PM","December 1, 2022 1:26 PM",27,imac-fly,0
"你怎麼待人，人家就怎麼待你，這是自然定律，也是人性。","《情緒治療》",,"February 8, 2023 2:57 PM","February 8, 2023 2:57 PM",28,imac-fly,0
幸福的關鍵在於我們共通的人性，儘管我們彼此之間的隔閡越來越深。,《失控的努力文化》,,"July 27, 2022 8:08 AM","July 27, 2022 8:08 AM",31,imac-fly,0
"比起那種被理想化的男女差異，人性所達的層面可是更加深入一些。","《此時此刻，我們相遇》",,"March 28, 2023 5:15 PM","March 28, 2023 5:15 PM",32,imac-fly,0
道德，就是用來約束個體的人性的，在此基礎上，可以實現群體的繁榮。,《底層邏輯》,,"December 25, 2022 9:42 AM","December 25, 2022 9:42 AM",32,imac-fly,0
"它是一個具體化的神話，不過是非常根植在日常生活的人性和熱情上。","《我反抗，故我們存在》",,"February 24, 2023 9:59 PM","February 24, 2023 9:59 PM",33,imac-fly,0
"我們沒有他人，無法發展出人性；沒有他人，我們沒有辦法成為自己。","《自信的躍進》",,"February 8, 2023 3:33 PM","February 8, 2023 3:33 PM",33,imac-fly,0
巴斯卡認為人類所有的消遣，都是讓人分心、躲閃人性重要議題的不當作法,《薛西弗斯的神話》,,"June 7, 2022 10:35 AM","June 7, 2022 10:35 AM",33,imac-fly,0
不要嘗試判斷他人。拒絕揣測對方，是不凡的人性表現。────《朝霞》,《讓尼采當你的心理師》,,"April 11, 2022 2:41 PM","April 11, 2022 2:41 PM",33,imac-fly,0
我們要擁有謙卑的心才懂得自嘲，懂得自嘲則讓我們意識到彼此共有的人性。,"《最後一次相遇，我們只談喜悅（暢銷新版）》",,"February 16, 2023 11:38 AM","April 26, 2023 12:34 PM",34,imac-fly,69
"美通常是墮落、不理性、沒有極限的，可能光彩奪目，但也可能害人性命","《我是一個媽媽，我需要柏金包！》",,"January 27, 2023 6:01 PM","January 27, 2023 6:01 PM",34,imac-fly,0
"人性本身是觀察不到的，只能從每個人在特定情境下的特定表現去觀察。","《自我的追尋》",,"January 22, 2023 2:16 PM","January 22, 2023 2:16 PM",34,imac-fly,0
"病態人格者也很適合從事公安警察、情報員、記者等需要深入人性黑暗面，","《病態人格》",,"April 25, 2023 7:09 PM","April 25, 2023 7:09 PM",35,imac-fly,0
我們為動物強加人性，反而是低估了動物的認知能力，並忽略了其他生物獨特的能力。確,《人類大命運》,,"May 29, 2022 9:28 PM","May 29, 2022 9:28 PM",39,imac-fly,0
