Name,Description,Note,Created,Last edited time,length,Created by,Days
故事是靠慾望驅動的。,"《創造展覽》",,"January 21, 2023 8:22 PM","April 26, 2023 8:12 PM",10,imac-fly,94
如果沒有慾望，就無法得到未來。,《拋掉書本上街去》,,"November 14, 2022 4:11 PM","November 14, 2022 4:11 PM",15,imac-fly,0
禁慾是一種幸福主義，而非享樂主義。,"《虛擬真實》",,"March 27, 2023 5:25 PM","April 26, 2023 8:12 PM",17,imac-fly,30
我想一個原因是：我比其他人還容易覺察「慾望」。,《專注，是一種資產》,,"April 26, 2022 5:07 PM","April 26, 2022 5:07 PM",23,imac-fly,0
"防止你被一些突來的念頭和情緒化的慾望給淹沒。","《強韌心態》",,"January 29, 2023 3:17 PM","January 29, 2023 3:17 PM",24,imac-fly,0
其實輕拍女人的屁股，就可挑起女人想滿足男人的慾望。,《性愛的科學》,,"October 8, 2022 1:59 PM","April 26, 2023 8:12 PM",25,imac-fly,200
禁慾並不試圖撤除身體，而僅是讓人不要落入熱情的奴役。,"《虛擬真實》",,"March 27, 2023 5:25 PM","April 26, 2023 8:12 PM",26,imac-fly,30
我真的認為所有旅人共享的正是這股想要放慢速度的慾望。,"《旅行的意義》",,"February 2, 2023 12:59 PM","April 26, 2023 8:12 PM",26,imac-fly,83
"因為沒能準確掌握自己的慾望，反倒變得更不自由了。","《一人份的幸福剛剛好》",,"February 1, 2023 9:24 AM","February 1, 2023 9:24 AM",26,imac-fly,0
我們的整個文化都是奠基於購買慾，奠基於互利交換的觀念。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 14, 2022 7:51 AM","June 14, 2022 7:51 AM",27,imac-fly,0
"愛和慾望可視為集合了不同腦部系統的兩種特殊現象。

","《為什麼要戀愛》
",,"January 9, 2023 9:44 AM","January 9, 2023 9:44 AM",28,imac-fly,0
這世界上你唯一可控制的就是你自己—你的反應、慾望與行為。,《道德浪女》,,"June 8, 2022 5:17 PM","June 8, 2022 5:17 PM",28,imac-fly,0
月經前與月經來潮期間，女性對巧克力等甜食的口慾特別高的現象。,"《嗅覺之謎》",,"April 21, 2023 3:44 PM","April 26, 2023 12:13 PM",30,imac-fly,4
當運動過度時，你的身體也會透過增加食慾荷爾蒙來引導你進行補充,《我們為何吃太多？》,,"July 17, 2022 8:46 AM","July 17, 2022 8:46 AM",30,imac-fly,0
禁慾可以強化身體，使身體不役於慾望與熱情，掙脫生活中的偶然性。,"《虛擬真實》",,"March 27, 2023 5:24 PM","April 26, 2023 8:13 PM",31,imac-fly,30
如果缺乏愛的第三個元素尊重，責任感很容易變質為支配慾和占有慾。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"April 28, 2022 10:39 PM","April 28, 2022 10:39 PM",31,imac-fly,0
最為人所知的禁慾主義認為身體必須淨化，精神才不會淪為物質的奴役。,"《虛擬真實》",,"March 27, 2023 5:24 PM","April 26, 2023 8:13 PM",32,imac-fly,30
"像這種對愛情的空幻的慾求，比起徹夜的荒淫，著實更教人神傷疲憊。","《包法利夫人》",,"April 13, 2023 11:05 PM","April 13, 2023 11:05 PM",33,imac-fly,0
在家畜中最追求歡愉的，而且性慾最強烈、對性最沒有複雜情結的就是貓。,"《氣味文明史》",,"March 25, 2023 2:44 PM","April 26, 2023 8:13 PM",33,imac-fly,32
其實還有一個無意識的「意志」。意志的意思，就是「想要」的慾望、衝動。,《主題薦書：超級歪談哲學之旅》,,"July 24, 2022 8:53 AM","July 24, 2022 8:53 AM",34,imac-fly,0
