Name,Description,Note,Created,Last edited time,length,Created by,Days
女性常隨情緒進行決策。,"《圖解女性心理學》",,"February 22, 2023 9:25 PM","April 26, 2023 12:11 PM",11,imac-fly,62
女性腦則喜歡獨一無二。,《老婆使用說明書》,,"June 20, 2022 6:31 PM","April 26, 2023 12:10 PM",11,imac-fly,309
女性也擅長邊說話邊思考。,"《圖解女性心理學》",,"February 22, 2023 9:25 PM","April 26, 2023 12:11 PM",12,imac-fly,62
女性會因為自己性感而性奮。,"《性、謊言、柏金包》",,"January 27, 2023 6:13 PM","April 26, 2023 12:11 PM",13,imac-fly,88
思考時，女性會使用大量資訊。,"《圖解女性心理學》",,"February 22, 2023 9:26 PM","April 26, 2023 12:11 PM",14,imac-fly,62
女性腦喜歡「有故事」的禮物。,《老婆使用說明書》,,"December 27, 2022 3:21 PM","April 26, 2023 12:12 PM",14,imac-fly,119
女性腦喜歡「有故事」的禮物。,《老婆使用說明書》,,"July 24, 2022 8:06 PM","January 23, 2023 3:24 PM",14,imac-fly,182
女性比男性更容易「自我揭露」。,"《圖解女性心理學》",,"February 22, 2023 9:23 PM","April 26, 2023 12:12 PM",15,imac-fly,62
女性腦會以面來填滿點與點之間。,《老婆使用說明書》,,"December 27, 2022 3:05 PM","April 26, 2023 12:12 PM",15,imac-fly,119
不論到了幾歲都需要情話綿綿的女性腦。,《老婆使用說明書》,,"December 27, 2022 3:21 PM","April 26, 2023 12:12 PM",18,imac-fly,119
女性腦是為所愛的人著想的終極偏心腦。,《老婆使用說明書》,,"December 27, 2022 3:12 PM","April 26, 2023 12:12 PM",18,imac-fly,119
嬰兒的汗液／體味能提高女性的生育能力。,"《嗅覺之謎》",,"April 11, 2023 11:20 AM","April 26, 2023 12:12 PM",19,imac-fly,15
女性腦有個習慣，就是會想聽一些固定的話。,《老婆使用說明書》,,"December 27, 2022 3:26 PM","December 27, 2022 3:26 PM",20,imac-fly,0
女性腦有個習慣，就是會想聽一些固定的話。,《老婆使用說明書》,,"June 20, 2022 6:31 PM","June 20, 2022 6:31 PM",20,imac-fly,0
男性腦是狩獵的設計，女性腦是育兒的設計。,《兒子使用說明書》,,"June 20, 2022 6:21 PM","April 26, 2023 12:12 PM",20,imac-fly,309
