Name,Description,Note,Created,Last edited time,length,Created by,Days
"愛情就像瘟疫。","《百年孤寂【典藏版】》",,"January 16, 2023 9:55 PM","January 16, 2023 9:55 PM",9,imac-fly,0
上床就是愛情的快轉。,"《欲望分子多巴胺》",,"March 8, 2023 3:30 PM","April 26, 2023 1:23 PM",10,imac-fly,48
同眠共枕是犯下愛情罪的具體事實。,《生命中不能承受之輕【全新版】》,,"December 24, 2022 11:46 PM","December 24, 2022 11:46 PM",16,imac-fly,0
心疼的感覺是在一瞬間上升成為了愛情。,"《不是所有親密關係都叫做愛情》",,"April 15, 2023 8:52 PM","April 26, 2023 1:23 PM",18,imac-fly,10
愛情，對他來說是想要把自己完全交付出去。,《生命中不能承受之輕【全新版】》,,"December 24, 2022 11:42 PM","April 26, 2023 1:24 PM",20,imac-fly,122
愛情對弗蘭茨而言，是持續不斷的等待打擊。,《生命中不能承受之輕【全新版】》,,"December 24, 2022 11:42 PM","April 26, 2023 1:23 PM",20,imac-fly,122
人類史上多數時期，愛情並非婚姻的一部分。,《哈佛✕Google行為科學家的脫單指南》,,"May 23, 2022 7:26 AM","April 26, 2023 1:24 PM",20,imac-fly,338
愛情不是必然，需要靠對的時機與不小的機運。,《備份人生：歡迎回來！您的意識已下載》,,"November 22, 2022 5:55 PM","November 22, 2022 5:55 PM",21,imac-fly,0
"我們必須每天主動在愛情與工作上投入心力。","《雙薪家庭進化論》",,"February 28, 2023 11:27 AM","February 28, 2023 11:27 AM",22,imac-fly,0
唯有在混亂的愛情裡，每種花招與特技都是可能的。,《卓別林的最後一支舞》,,"May 16, 2022 4:20 PM","April 26, 2023 1:24 PM",23,imac-fly,344
初期的愛情，或者說激情，都只能維持十二至十八個月。,"《欲望分子多巴胺》",,"February 21, 2023 10:10 AM","April 26, 2023 1:24 PM",25,imac-fly,64
"也只有在媚俗的基礎上，才能建立全人類的博愛情誼。","《生命中不能承受之輕【全新版】》",,"January 22, 2023 8:51 AM","January 22, 2023 8:51 AM",26,imac-fly,0
愛情並未降臨在我們身上，我們相愛是因為兩人做的選擇。,"《為什麼要戀愛》",,"January 22, 2023 8:04 AM","April 12, 2023 6:57 PM",26,imac-fly,80
"愛情呈現在公眾面前就會帶上重量，變成一種負擔。

","《生命中不能承受之輕【全新版】》
",,"January 7, 2023 10:38 AM","January 7, 2023 10:38 AM",27,imac-fly,0
愛情跟婚姻都是雙人舞，哪一邊落了舞步都撐不起一支舞的。,《妳可以乖，但不能不懂男人的壞》,,"May 18, 2022 1:55 PM","May 18, 2022 1:55 PM",27,imac-fly,0
糟糕的愛情，變成糟糕的婚姻，不明智的求職選擇變成終生徒刑。,《一週工作4小時【全新增訂版】》,,"November 20, 2022 11:53 AM","November 20, 2022 11:53 AM",29,imac-fly,0
"愛情這回事，唯有兩個人願意往同一個方向走，才能真正走在一起。","《不是所有親密關係都叫做愛情》",,"April 15, 2023 9:09 PM","April 15, 2023 9:09 PM",32,imac-fly,0
"為了相信愛情，男女之間（也包括母子之間）最好能建立某種規律。","《老公使用說明書》",,"February 26, 2023 11:10 PM","February 26, 2023 11:10 PM",32,imac-fly,0
愛情不論在哪個時空跟哪個地方都是愛情，但越是接近死亡，越是濃烈。,《愛在瘟疫蔓延時【典藏紀念版】》,,"October 15, 2022 6:52 PM","October 15, 2022 6:52 PM",32,imac-fly,0
"像這種對愛情的空幻的慾求，比起徹夜的荒淫，著實更教人神傷疲憊。","《包法利夫人》",,"April 13, 2023 11:05 PM","April 13, 2023 11:05 PM",33,imac-fly,0
愛情不是被動地等待它的來臨，而是要主動地讓它發生；用愛來喚起愛的能力。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:09 PM","April 11, 2023 6:39 PM",35,imac-fly,320
"愛情，對他來說是想要把自己完全交付出去，任由別人擺布的一種欲望。

","《生命中不能承受之輕【全新版】》
",,"January 2, 2023 10:35 AM","January 2, 2023 10:35 AM",36,imac-fly,0
隱喻是一種危險的東西。我們不能拿隱喻鬧著玩。愛情有可能就誕生於一則隱喻。,《生命中不能承受之輕【全新版】》,,"December 24, 2022 11:45 PM","December 24, 2022 11:45 PM",36,imac-fly,0
剎那即永恆。看愛侶完全陶醉在極樂幸福裡，是浪漫愛情故事最扣人心弦的元素。,《跟莎士比亞學創作：連好萊塢金牌編劇都搶著學的20個說故事密技》,,"June 21, 2022 8:49 AM","June 21, 2022 8:49 AM",36,imac-fly,0
享樂、愛情、名聲、財富都不過是痛苦、哀傷、羞辱、貧困等終極真實的臨時偽裝。,《大文豪的童話》,,"October 26, 2022 3:26 PM","April 26, 2023 1:25 PM",37,imac-fly,181
真正的愛情是兩情相悅，裡面沒有一絲佔有的，所以即便你把手放開，他也願意回來牽你。,《男人的愛情研究室》,,"July 25, 2022 9:56 AM","July 25, 2022 9:56 AM",40,imac-fly,0
找到愛情並繁衍後代＝使用Tinder之類的手機交友軟體；與他人建立關係＝滑臉書。,《原子習慣》,,"June 11, 2022 10:33 PM","April 26, 2023 1:25 PM",40,imac-fly,318
