Name,Description,Note,Created,Last edited time,length,Created by,Days
男性要先歸納想法才會說出。,"《圖解女性心理學》",,"February 22, 2023 9:25 PM","April 26, 2023 12:11 PM",13,imac-fly,62
女性比男性更容易「自我揭露」。,"《圖解女性心理學》",,"February 22, 2023 9:23 PM","April 26, 2023 12:12 PM",15,imac-fly,62
男性腦所認為的愛的證明，就是盡責。,《老婆使用說明書》,,"December 27, 2022 3:27 PM","December 27, 2022 3:27 PM",17,imac-fly,0
「規律」對男性腦來說，是很舒服的。,《老公使用說明書》,,"November 1, 2022 11:35 PM","April 26, 2023 12:18 PM",17,imac-fly,175
男性會在一瞬間果斷地鎖定遠方的目標。,《兒子使用說明書》,,"June 20, 2022 6:22 PM","June 20, 2022 6:22 PM",18,imac-fly,0
"「規律」對男性腦來說，是很舒服的。","《老公使用說明書》",,"February 26, 2023 11:10 PM","February 26, 2023 11:10 PM",19,imac-fly,0
五成六的男性表示對伴侶的乳房感到滿意。,"《好色醫學必修32堂課》
",,"December 28, 2022 5:33 PM","April 14, 2023 9:00 AM",19,imac-fly,106
正常男性在夜裡睡覺時平均會有五次勃起。,"《好色醫學必修32堂課》
",,"December 28, 2022 5:25 PM","April 26, 2023 12:17 PM",19,imac-fly,118
男性腦是狩獵的設計，女性腦是育兒的設計。,《兒子使用說明書》,,"June 20, 2022 6:21 PM","April 26, 2023 12:12 PM",20,imac-fly,309
男性是獵人，他們不會去追沒有興趣的獵物。,《讓男人追著妳跑（暢銷新裝版）》,,"April 28, 2022 4:48 PM","April 26, 2023 12:18 PM",20,imac-fly,362
在放大對未來的焦慮方面，男性腦的能力較高。,《老公使用說明書》,,"December 27, 2022 3:57 PM","December 27, 2022 3:57 PM",21,imac-fly,0
為了緩解緊繃，安靜沉默對男性腦來說必不可少。,《老公使用說明書》,,"December 27, 2022 3:34 PM","December 27, 2022 3:34 PM",22,imac-fly,0
處於工作模式的男性腦並不會輕易切換至家庭模式。,《老婆使用說明書》,,"December 27, 2022 3:12 PM","April 26, 2023 12:17 PM",23,imac-fly,119
男女腦論也能應用在行銷上女性在近處，男性在遠處。,"《男女溝通使用說明書》",,"February 27, 2023 10:58 AM","April 26, 2023 12:13 PM",24,imac-fly,58
對男性腦來說，缺乏「安靜沉默」的生活才是萬分痛苦。,《老公使用說明書》,,"December 27, 2022 3:42 PM","December 27, 2022 3:42 PM",25,imac-fly,0
男性腦對於規律極為忠誠，信守承諾就是他們愛的表現。,《老公使用說明書》,,"July 24, 2022 5:45 AM","July 24, 2022 5:45 AM",25,imac-fly,0
男性對不知結論的話很沒耐性，因為這會讓他們疲憊不堪。,《老公使用說明書》,,"November 1, 2022 11:30 PM","November 1, 2022 11:30 PM",26,imac-fly,0
攝護腺在男性成年期間分泌精液，在晚年期間則製造焦慮。,《身體》,,"May 15, 2022 11:40 AM","May 15, 2022 11:40 AM",26,imac-fly,0
"越是覺得老婆離自己很近，就越沒興趣，這就是男性腦。","《老婆使用說明書》",,"February 26, 2023 11:42 PM","February 26, 2023 11:42 PM",27,imac-fly,0
"男性腦對於規律極為忠誠，信守承諾就是他們愛的表現。","《老公使用說明書》",,"February 26, 2023 11:07 PM","February 26, 2023 11:07 PM",27,imac-fly,0
男性更加重視負面的事件，例如成為笑柄或公開戲弄的目標。,"《朋友原來是天生的：鄧巴數字與友誼成功的七大支柱》",,"January 22, 2023 12:35 PM","April 26, 2023 12:18 PM",27,imac-fly,93
男性腦對於自己重視的人事物，習慣性地以履行職責為宗旨。,《老婆使用說明書》,,"May 12, 2022 3:44 PM","May 12, 2022 3:44 PM",27,imac-fly,0
"基本上男性腦真的是一旦把事情規則化，就比較容易遵守。","《老公使用說明書》",,"February 26, 2023 11:07 PM","February 26, 2023 11:07 PM",28,imac-fly,0
思考的時候，男性往往依據道理導出結論，女性則是依據情緒。,"《圖解女性心理學》",,"February 22, 2023 9:25 PM","April 26, 2023 12:13 PM",28,imac-fly,62
對於發生在半徑3公尺以內的事情，男性腦真的完全感覺不到。,《老公使用說明書》,,"December 27, 2022 4:04 PM","April 26, 2023 12:18 PM",28,imac-fly,119
男性腦基本上只有「事實的通訊線路」，所以會立刻做出結論。,《老婆使用說明書》,,"May 12, 2022 3:44 PM","April 26, 2023 12:18 PM",28,imac-fly,348
"她發現男性對人際關係中出現的壓力和緊張有更高的容忍度。","《朋友原來是天生的：鄧巴數字與友誼成功的七大支柱》",,"January 22, 2023 9:18 AM","January 22, 2023 9:18 AM",29,imac-fly,0
